DBN,Major N,Oth N,NoCrim N,Prop N,Vio N,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Latitude,Longitude,SATmath,SATall
02M489,1.0,5.0,3.0,4.0,1.0,0.52,1.71,2.49,1.16,0.75,40.709196,-74.012022,489.0,458.0
02M489,0.0,3.0,8.0,1.0,2.0,0.46,1.65,2.77,1.17,0.75,40.709196,-74.012022,489.0,458.0
02M489,1.0,5.0,1.0,4.0,1.0,0.38,1.71,2.38,0.98,0.82,40.709196,-74.012022,489.0,458.0
02M544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.768343,-73.989108,371.0,365.0
02M400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.767790999999995,-73.987531,493.0,473.0
03M479,0.0,0.0,0.0,0.0,0.0,0.86,3.26,5.55,2.17,1.29,40.772007,-73.98747900000001,575.0,581.3333333333334
03M479,0.0,0.0,0.0,0.0,0.0,0.89,3.22,5.07,2.18,1.64,40.772007,-73.98747900000001,575.0,581.3333333333334
03M479,0.0,0.0,0.0,0.0,0.0,0.64,3.02,5.77,1.72,1.54,40.772007,-73.98747900000001,575.0,581.3333333333334
02M416,0.0,0.0,1.0,0.0,0.0,0.33,1.32,1.76,0.83,0.59,40.770187,-73.953608,594.0,586.0
02M416,0.0,0.0,0.0,0.0,0.0,0.31,1.12,1.82,0.79,0.51,40.770187,-73.953608,594.0,586.0
02M416,0.0,1.0,2.0,0.0,1.0,0.28,1.11,1.74,0.75,0.53,40.770187,-73.953608,594.0,586.0
02M439,1.0,2.0,1.0,2.0,1.0,0.35,1.06,1.09,0.73,0.5,40.741496999999995,-73.991512,473.0,457.3333333333333
02M439,0.0,0.0,0.0,0.0,0.0,0.27,1.11,1.38,0.8,0.48,40.741496999999995,-73.991512,473.0,457.3333333333333
02M439,0.0,0.0,0.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.741496999999995,-73.991512,473.0,457.3333333333333
02M411,1.0,1.0,0.0,2.0,0.0,0.35,1.06,1.09,0.73,0.5,40.741929999999996,-73.986521,563.0,525.6666666666666
